;0;1;MeanDecreaseAccuracy;MeanDecreaseGini
creditcd;9,04E-05;0,000118868;0,000104188;25,20639773
income;0,000178314;2,30E-05;0,000101346;399,8052478
dualband;7,76E-05;0,00010826;9,24E-05;37,94071971
children;0,000139929;3,38E-05;8,70E-05;42,09942558
roam_Mean;5,53E-05;0,000111659;8,33E-05;110,0876871
actvsubs;0,000153376;7,96E-06;8,11E-05;52,75441374
da_Mean;3,44E-06;0,000158622;8,00E-05;119,170992
marital;0,000111725;4,32E-05;7,73E-05;114,6981526
crclscod;9,50E-05;5,47E-05;7,49E-05;554,7075559
div_type;8,59E-05;4,09E-05;6,36E-05;48,34766284
da_Range;3,75E-05;8,80E-05;6,23E-05;98,46496524
HHstatin;0,000153963;-4,11E-05;5,72E-05;138,0257784
age2;0,000168463;-6,01E-05;5,49E-05;151,0133164
age1_bool;0,000121338;-1,92E-05;5,14E-05;12,59584379
threeway_Range;4,93E-05;3,21E-05;4,06E-05;48,61836104
age2_bool;8,28E-05;-2,57E-06;4,03E-05;14,97871629
numbcars;6,85E-05;1,06E-05;3,97E-05;70,91660481
threeway_Mean;0,000103845;-2,92E-05;3,80E-05;60,00703014
mailordr;8,49E-05;-2,29E-05;3,14E-05;18,3055011
prizm_social_one;0,000144959;-8,56E-05;3,08E-05;202,1523726
kid6_10;3,17E-05;2,70E-05;2,93E-05;13,99797763
mou_pead_Mean;1,36E-05;3,02E-05;2,18E-05;25,10997816
infobase;-5,64E-05;0,000101198;2,17E-05;12,62320334
peak_dat_Range;3,34E-05;5,07E-06;1,93E-05;18,5713634
kid16_17;2,13E-05;1,37E-05;1,76E-05;14,73064376
cartype;0,000214916;-0,000186094;1,61E-05;186,4028819
rv;1,64E-05;1,34E-05;1,49E-05;19,71557655
mou_pead_Range;2,11E-06;2,76E-05;1,46E-05;24,95555847
mou_opkd_Range;-2,85E-06;3,19E-05;1,45E-05;26,22218963
plcd_dat_Mean;2,63E-05;-3,76E-06;1,16E-05;29,43197385
kid3_5;1,09E-05;1,24E-05;1,15E-05;11,7823991
comp_dat_Mean;5,47E-06;1,66E-05;1,11E-05;26,07818315
pcowner;3,22E-06;1,70E-05;1,02E-05;16,82974248
kid11_15;3,35E-05;-1,37E-05;1,00E-05;13,49004902
REF_QTY_bool;-1,62E-06;2,01E-05;9,13E-06;11,3593419
truck;2,66E-05;-9,47E-06;8,71E-06;22,68354601
mou_opkd_Mean;3,05E-07;1,58E-05;8,11E-06;25,76316152
rmrevNA;8,41E-06;7,36E-06;7,93E-06;20,87469459
forgntvl;1,77E-05;-2,16E-06;7,82E-06;19,39711454
rmmouNA;-4,77E-06;1,95E-05;7,33E-06;20,9622956
car_buy;4,91E-05;-3,53E-05;7,27E-06;25,69719103
mtrcycle;8,15E-06;6,39E-06;7,25E-06;10,87133687
new_cell;2,64E-05;-1,31E-05;6,86E-06;52,0156757
REF_QTY;-2,03E-05;3,42E-05;6,75E-06;13,48047172
educ1;4,32E-07;1,10E-05;5,81E-06;52,12696547
drop_dat_Mean;1,01E-05;2,18E-07;5,30E-06;7,034386909
opk_dat_Range;-4,18E-05;5,22E-05;4,81E-06;19,29820591
opk_dat_Mean;-2,01E-06;1,12E-05;4,52E-06;19,74651441
mou_cdat_Mean;-1,31E-05;2,08E-05;3,61E-06;33,38210259
datovr_Range;5,44E-06;7,40E-07;3,17E-06;36,98696294
proptype;3,46E-05;-2,93E-05;3,12E-06;41,4543588
blck_dat_Range;5,19E-06;4,85E-07;2,82E-06;4,081779227
mou_cdat_Range;9,51E-06;-4,78E-06;2,81E-06;32,61579778
occu1;-4,23E-06;9,64E-06;2,40E-06;212,7013234
mailresp;0,000113453;-0,000112114;1,55E-06;18,18177525
recv_sms_Mean;-1,78E-06;4,54E-06;1,34E-06;3,930950376
wrkwoman;-4,11E-06;5,47E-06;7,41E-07;15,93472533
rmcallsNA;-1,02E-07;8,53E-07;4,47E-07;20,47656883
recv_sms_Range;-5,80E-06;6,84E-06;4,46E-07;3,852449686
plcd_dat_Range;-1,42E-05;1,50E-05;3,52E-07;26,46474975
datovr_Mean;-4,53E-06;5,39E-06;3,39E-07;38,04957402
comp_dat_Range;-3,74E-05;3,87E-05;2,52E-07;23,50203358
kid0_2;-7,73E-06;8,16E-06;2,03E-07;10,35378362
unan_dat_Range;-9,89E-06;1,03E-05;1,18E-07;9,220502115
callfwdv_Range;-4,43E-07;-2,17E-07;-3,33E-07;2,158285792
callfwdv_Mean;2,43E-07;-1,37E-06;-5,59E-07;2,044076305
blck_dat_Mean;-1,57E-06;2,41E-08;-7,92E-07;3,861770379
peak_dat_Mean;-1,81E-05;1,53E-05;-1,36E-06;19,82129227
mailflag;-5,34E-06;2,29E-06;-1,58E-06;6,05773891
solflag;-2,28E-06;-2,96E-06;-2,62E-06;6,844562128
drop_dat_Range;-6,49E-06;7,11E-07;-2,94E-06;6,521911658
unan_dat_Mean;-2,02E-05;6,85E-06;-6,77E-06;9,736379426
crtcount;-2,00E-06;-1,42E-05;-8,10E-06;15,80204065
